project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wabt,2019-11-18 14:43:25.084000,"{wabt,afl,libfuzzer}","{8b554c8d21f3f9cd9d052ef91a370a032f75aba3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-19 14:41:28.107000,"{wabt,afl,libfuzzer}","{43fef7d1c31f5b99ff9f1e79ce368fe139414882,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",3129.0,5814.0,3129.0,5814.0,0.0,0.0
wabt,2019-11-19 14:41:28.107000,"{wabt,afl,libfuzzer}","{43fef7d1c31f5b99ff9f1e79ce368fe139414882,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-20 14:43:21.409000,"{wabt,afl,libfuzzer}","{3eb3daf7af8714fe274b578fe9c289cd00d97872,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",3129.0,5814.0,3129.0,5814.0,0.0,0.0
wabt,2019-11-20 14:43:21.409000,"{wabt,afl,libfuzzer}","{3eb3daf7af8714fe274b578fe9c289cd00d97872,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-21 14:43:58.033000,"{wabt,afl,libfuzzer}","{838256d449ecd48f37e0c2fc0c2c1d0f50ce8584,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",3129.0,5814.0,3129.0,5814.0,0.0,0.0
wabt,2019-11-21 14:43:58.033000,"{wabt,afl,libfuzzer}","{838256d449ecd48f37e0c2fc0c2c1d0f50ce8584,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-22 14:43:47.533000,"{wabt,afl,libfuzzer}","{5e81015f69262657186b3f3bf03bfa28016c5a0d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",3129.0,5814.0,3149.0,5837.0,23.0,0.13057692351892314
wabt,2019-11-22 14:43:47.533000,"{wabt,afl,libfuzzer}","{5e81015f69262657186b3f3bf03bfa28016c5a0d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-23 14:44:01.493000,"{wabt,afl}","{2d1e5a0246d5b2e806ea029ec045ee6f23cf6c78,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3149.0,5837.0,0.0,5513.0,-324.0,-53.9489463765633
wabt,2019-11-25 14:45:42.188000,"{wabt,afl}","{2d1e5a0246d5b2e806ea029ec045ee6f23cf6c78,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-11-26 14:45:28.242000,"{wabt,afl}","{4386b19e2854e8d5f303bd7236a20092ff77cb9a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",0.0,5513.0,3181.0,5867.0,354.0,54.218510311914095
wabt,2019-11-26 14:45:28.242000,"{wabt,afl}","{4386b19e2854e8d5f303bd7236a20092ff77cb9a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-11-27 14:47:24.101000,"{wabt,afl}","{b807819d5501ee7ba22a178d3acfb8fa6d6bcde7,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3181.0,5867.0,3183.0,5886.0,19.0,-0.1410383445338752
wabt,2019-12-03 14:44:15.998000,"{wabt,afl}","{b807819d5501ee7ba22a178d3acfb8fa6d6bcde7,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-12-04 14:42:49.864000,"{wabt,afl}","{4191fc9e5d65f31ca7538b2a585d251b3ba07ac3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3218.0,5886.0,3218.0,5886.0,0.0,0.0
wabt,2019-12-09 14:43:10.936000,"{wabt,afl}","{4191fc9e5d65f31ca7538b2a585d251b3ba07ac3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-12-10 14:41:16.092000,"{wabt,afl}","{e098f4c22f4630dab830a032612532ab7baa9ff9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3218.0,5886.0,3218.0,5886.0,0.0,0.0
wabt,2019-12-11 14:42:48.299000,"{wabt,afl}","{e098f4c22f4630dab830a032612532ab7baa9ff9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-12-12 14:45:03.353000,"{wabt,afl}","{de431f0a4d897e86e4dbe59c248573bbbf555793,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3218.0,5886.0,3218.0,5886.0,0.0,0.0
wabt,2019-12-12 14:45:03.353000,"{wabt,afl}","{de431f0a4d897e86e4dbe59c248573bbbf555793,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-12-13 14:43:01.200000,"{wabt,afl}","{c3038c52956e84b53736e7155d6aaf89e2ac48b1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3218.0,5886.0,3218.0,5886.0,0.0,0.0
wabt,2019-12-13 14:43:01.200000,"{wabt,afl}","{c3038c52956e84b53736e7155d6aaf89e2ac48b1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-12-14 14:46:00.234000,"{wabt,afl}","{8be933ef8c1a6539823b0ed77b3a41524888e19d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3218.0,5886.0,3222.0,5915.0,29.0,-0.20042113196665667
wabt,2019-12-19 14:42:11.855000,"{wabt,afl}","{8be933ef8c1a6539823b0ed77b3a41524888e19d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-12-20 14:42:40.661000,"{wabt,afl}","{dff75b2844e5b512ef6106ba1da0ddff51cebab3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3222.0,5915.0,3222.0,5915.0,0.0,0.0
wabt,2019-12-23 14:42:00.228000,"{wabt,afl}","{dff75b2844e5b512ef6106ba1da0ddff51cebab3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-12-24 14:41:44.128000,"{wabt,afl}","{76ff3af40040a90c15b6b9f2614f3a3869dbdab1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3222.0,5915.0,3222.0,5915.0,0.0,0.0
wabt,2020-01-02 14:42:29.126000,"{wabt,afl}","{76ff3af40040a90c15b6b9f2614f3a3869dbdab1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-03 14:43:48.668000,"{wabt,afl}","{d008411c9bb1ae11caf9912c625898bba6e12666,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3222.0,5915.0,3222.0,5915.0,0.0,0.0
wabt,2020-01-06 14:46:56.784000,"{wabt,afl}","{d008411c9bb1ae11caf9912c625898bba6e12666,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-07 14:46:49.923000,"{wabt,afl}","{e2e1d1d7fc6e78bfcf98b5b1a6390d3ab534929a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3222.0,5915.0,3222.0,5915.0,0.0,0.0
wabt,2020-01-08 14:47:57.049000,"{wabt,afl}","{e2e1d1d7fc6e78bfcf98b5b1a6390d3ab534929a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-09 14:49:20.343000,"{wabt,afl}","{d7f7fd7baa9b259e034667148ea771460ce4e83a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3222.0,5915.0,3230.0,5975.0,60.0,-0.413104758132107
wabt,2020-01-09 14:49:20.343000,"{wabt,afl}","{d7f7fd7baa9b259e034667148ea771460ce4e83a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-10 14:51:08.062000,"{wabt,afl}","{c47cd5cf72d7aca083184fc18fd6d155f20b2b4f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3230.0,5975.0,3231.0,5975.0,0.0,0.016736401673632884
wabt,2020-01-10 14:51:08.062000,"{wabt,afl}","{c47cd5cf72d7aca083184fc18fd6d155f20b2b4f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-11 14:50:56.577000,"{wabt,afl}","{ca00fec0c8378db44d335d1731afd71c70c404cc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3231.0,5975.0,3234.0,5980.0,5.0,0.004953750997046313
wabt,2020-01-13 14:49:29.749000,"{wabt,afl}","{ca00fec0c8378db44d335d1731afd71c70c404cc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-14 14:48:48.539000,"{wabt,afl}","{cd7e137c12691e91e566ac68ce0ad7a7b44b60b9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3234.0,5980.0,3246.0,5992.0,12.0,0.09196208099092473
wabt,2020-01-14 14:48:48.539000,"{wabt,afl}","{cd7e137c12691e91e566ac68ce0ad7a7b44b60b9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-15 14:49:23.367000,"{wabt,afl}","{1d7176328c7e45fcb6309a585ecf406b0bef9b54,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3246.0,5992.0,3254.0,6000.0,8.0,0.061103693813983284
wabt,2020-01-15 14:49:23.367000,"{wabt,afl}","{1d7176328c7e45fcb6309a585ecf406b0bef9b54,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-16 14:48:28.254000,"{wabt,afl}","{256f868194bafc3ea32b981c51dd657151a04ae7,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3254.0,6000.0,3254.0,6000.0,0.0,0.0
wabt,2020-01-16 14:48:28.254000,"{wabt,afl}","{256f868194bafc3ea32b981c51dd657151a04ae7,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-17 14:51:52.826000,"{wabt,afl}","{7c80d05e37dc02870c680869ae3f04ac6d9637ee,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3254.0,6000.0,3254.0,6003.0,3.0,-0.02710311510912078
wabt,2020-01-17 14:51:52.826000,"{wabt,afl}","{7c80d05e37dc02870c680869ae3f04ac6d9637ee,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-18 14:54:45.471000,"{wabt,afl}","{8bd065771ad7f87c839c2ac76ad924b33d961db5,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3254.0,6003.0,3254.0,6003.0,0.0,0.0
wabt,2020-01-21 14:56:39.654000,"{wabt,afl}","{8bd065771ad7f87c839c2ac76ad924b33d961db5,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-22 14:55:42.491000,"{wabt,afl}","{7eb3f7771e5374c36af58485d67c3dc19290024a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3254.0,6003.0,3254.0,6031.0,28.0,-0.2516621532267038
wabt,2020-01-23 14:52:18.660000,"{wabt,afl}","{7eb3f7771e5374c36af58485d67c3dc19290024a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-24 14:48:52.670000,"{wabt,afl}","{2132abdd621a354a25af6bc67d1bb603c6b3c4dc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3254.0,6031.0,3254.0,6049.0,18.0,-0.1605525252388773
wabt,2020-01-27 14:56:20.682000,"{wabt,afl}","{2132abdd621a354a25af6bc67d1bb603c6b3c4dc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-28 14:55:58.273000,"{wabt,afl}","{c74e612ff9d95d6afd1bbfb6d9656655aa6d70ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3254.0,6049.0,2830.0,6108.0,59.0,-7.46133708527271
wabt,2020-01-28 14:55:58.273000,"{wabt,afl}","{c74e612ff9d95d6afd1bbfb6d9656655aa6d70ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-29 14:57:30.677000,"{wabt,afl}","{4966aa99dceb8851c1135393f520b879096c16fc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2830.0,6108.0,3269.0,6108.0,0.0,7.187295350360181
wabt,2020-01-30 14:59:38.019000,"{wabt,afl}","{4966aa99dceb8851c1135393f520b879096c16fc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-31 14:54:54.347000,"{wabt,afl}","{943d69d59e78f5ef4c52035cb7edc8e0dc172777,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3269.0,6108.0,3269.0,6108.0,0.0,0.0
wabt,2020-01-31 14:54:54.347000,"{wabt,afl}","{943d69d59e78f5ef4c52035cb7edc8e0dc172777,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-01 14:55:48.437000,"{wabt,afl}","{d18058fe482a75ec8fefbef56d27cf5c8e36afd8,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3269.0,6108.0,3269.0,6108.0,0.0,0.0
wabt,2020-02-04 14:53:45.140000,"{wabt,afl}","{d18058fe482a75ec8fefbef56d27cf5c8e36afd8,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-05 14:56:56.426000,"{wabt,afl}","{13b500b006757a1d7cbf73a756d8d599038322f6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3269.0,6108.0,3287.0,6108.0,0.0,0.2946954813359568
wabt,2020-02-05 14:56:56.426000,"{wabt,afl}","{13b500b006757a1d7cbf73a756d8d599038322f6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-06 14:58:09.707000,"{wabt,afl}","{417a5be8678b22296c2dfa7e12f87a577225d776,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3287.0,6108.0,3286.0,6106.0,-2.0,0.0012494822424358176
wabt,2020-02-06 14:58:09.707000,"{wabt,afl}","{417a5be8678b22296c2dfa7e12f87a577225d776,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-07 14:58:15.739000,"{wabt,afl}","{3dc09d11ff4396c9a4cf903cae2ed6a88f5982b6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3286.0,6106.0,3286.0,6106.0,0.0,0.0
wabt,2020-02-11 14:53:24.563000,"{wabt,afl}","{3dc09d11ff4396c9a4cf903cae2ed6a88f5982b6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-12 14:55:58.725000,"{wabt,afl}","{4ba97c116d1417b2fb516299a37965820b93ced3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3286.0,6106.0,3286.0,6106.0,0.0,0.0
wabt,2020-02-18 18:20:51.857000,"{wabt,afl}","{4ba97c116d1417b2fb516299a37965820b93ced3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-29 14:30:43.268000,"{wabt,afl}","{f8e09f6ccfa25ca96be1a255b72e3240f29b4700,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3291.0,6106.0,3310.0,6132.0,26.0,0.08132045965930956
wabt,2020-02-29 14:30:43.268000,"{wabt,afl}","{f8e09f6ccfa25ca96be1a255b72e3240f29b4700,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-01 14:30:21.107000,"{wabt,afl}","{bec78eafbc203d81b9a6d1ce81f5a80dd7bf692a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3310.0,6132.0,3310.0,6132.0,0.0,0.0
wabt,2020-03-09 13:30:09.025000,"{wabt,afl}","{bec78eafbc203d81b9a6d1ce81f5a80dd7bf692a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-10 13:30:45.092000,"{wabt,afl}","{f649b7ca9af02ff3213d8c2b135eaef9d87f5e0d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3310.0,6132.0,3321.0,6168.0,36.0,-0.13671344557225495
wabt,2020-03-10 13:30:45.092000,"{wabt,afl}","{f649b7ca9af02ff3213d8c2b135eaef9d87f5e0d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-12 16:59:21.036000,"{wabt,afl}","{e0b5f0f33f84e23869f8e511cdd583f45097af9a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3321.0,6168.0,3073.0,6039.0,-129.0,-2.9565041884044234
wabt,2020-03-13 13:30:22.074000,"{wabt,afl}","{e0b5f0f33f84e23869f8e511cdd583f45097af9a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-14 13:30:17.684000,"{wabt,afl}","{a5994b2f94586063f7cce021e537f2cda82f3ba0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3256.0,6056.0,3256.0,6056.0,0.0,0.0
wabt,2020-03-15 13:29:55.884000,"{wabt,afl}","{a5994b2f94586063f7cce021e537f2cda82f3ba0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-16 13:30:18.887000,"{wabt,afl}","{261dfdd75d8199298c9e0143e351322cc79c996a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3256.0,6056.0,3256.0,6056.0,0.0,0.0
wabt,2020-03-16 13:30:18.887000,"{wabt,afl}","{261dfdd75d8199298c9e0143e351322cc79c996a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-17 13:30:06.362000,"{wabt,afl}","{8d8db66eeeaffd471cbdb70d34b235c08665e788,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3256.0,6056.0,3260.0,6125.0,69.0,-0.5403714986655146
wabt,2020-03-17 13:30:06.362000,"{wabt,afl}","{8d8db66eeeaffd471cbdb70d34b235c08665e788,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-18 13:30:10.430000,"{wabt,afl}","{7d48bd6148d723b7b9aca66126156f087de3918e,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3260.0,6125.0,3260.0,6125.0,0.0,0.0
wabt,2020-03-19 13:30:31.232000,"{wabt,afl}","{7d48bd6148d723b7b9aca66126156f087de3918e,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-20 13:30:52.045000,"{wabt,afl}","{142c52678acf7decf6a48190c395ed73bb91170a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3260.0,6125.0,3260.0,6125.0,0.0,0.0
wabt,2020-03-20 13:30:52.045000,"{wabt,afl}","{142c52678acf7decf6a48190c395ed73bb91170a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-21 13:30:28.378000,"{wabt,afl}","{5ba0296190a077acfdc6c1de19510143b4dcc7c4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3260.0,6125.0,3264.0,6150.0,25.0,-0.15131906421105157
wabt,2020-03-23 13:31:27.377000,"{wabt,afl}","{5ba0296190a077acfdc6c1de19510143b4dcc7c4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-24 13:31:09.224000,"{wabt,afl}","{7898e57f28c89565b99e894e764e058346e28fbe,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3264.0,6150.0,3264.0,6189.0,39.0,-0.33444072686000936
wabt,2020-03-25 13:31:45.155000,"{wabt,afl}","{7898e57f28c89565b99e894e764e058346e28fbe,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-26 13:30:37.634000,"{wabt,afl}","{1f397a3c829869f23ae0ff3e311d22f12d8c72a9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3264.0,6189.0,3278.0,6224.0,35.0,-0.07163488916607008
wabt,2020-03-27 13:31:17.057000,"{wabt,afl}","{1f397a3c829869f23ae0ff3e311d22f12d8c72a9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-28 13:30:45.910000,"{wabt,afl}","{ae2140ddc6969ef53599fe2fab81818de65db875,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3278.0,6224.0,3284.0,6230.0,6.0,0.04558546216787107
wabt,2020-04-07 13:31:07.845000,"{wabt,afl}","{ae2140ddc6969ef53599fe2fab81818de65db875,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-08 13:31:14.308000,"{wabt,afl}","{392881de0eeb05e26c909a6b7acea0e05e8ad672,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6230.0,3284.0,6230.0,0.0,0.0
wabt,2020-04-09 13:31:41.906000,"{wabt,afl}","{392881de0eeb05e26c909a6b7acea0e05e8ad672,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-10 13:31:23.942000,"{wabt,afl}","{343d24bf620594c985065d193bde2c3fc282a53e,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6230.0,3284.0,6230.0,0.0,0.0
wabt,2020-04-14 13:31:23.340000,"{wabt,afl}","{343d24bf620594c985065d193bde2c3fc282a53e,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-15 13:30:55.888000,"{wabt,afl}","{952c3b8006911a8659c1b922c3bb4adffc671d89,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6230.0,3283.0,6229.0,-1.0,-0.007591478475220015
wabt,2020-04-20 13:30:48.287000,"{wabt,afl}","{952c3b8006911a8659c1b922c3bb4adffc671d89,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-21 13:31:46.638000,"{wabt,afl}","{d041025854ba2b00b3df9f308914c8aba05dcda9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3283.0,6229.0,3284.0,6247.0,18.0,-0.1358558674225563
wabt,2020-04-22 13:31:09.649000,"{wabt,afl}","{d041025854ba2b00b3df9f308914c8aba05dcda9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-24 13:32:02.876000,"{wabt,afl}","{74afb7f8d86fc1cfd30eb1f4a74cd8139baa384f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6247.0,3284.0,6247.0,0.0,0.0
wabt,2020-04-27 13:32:00.606000,"{wabt,afl}","{74afb7f8d86fc1cfd30eb1f4a74cd8139baa384f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-28 13:31:38.134000,"{wabt,afl}","{5e16bf1c7ef1d2bed53db4e5a03771d2d5a12f04,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6247.0,3284.0,6247.0,0.0,0.0
wabt,2020-04-28 13:31:38.134000,"{wabt,afl}","{5e16bf1c7ef1d2bed53db4e5a03771d2d5a12f04,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-29 13:31:13.082000,"{wabt,afl}","{5c48f3bdd5ab8b7c27d4959840407ce09a31f0cf,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6247.0,3284.0,6247.0,0.0,0.0
wabt,2020-05-04 13:31:33.591000,"{wabt,afl}","{5c48f3bdd5ab8b7c27d4959840407ce09a31f0cf,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-05 13:30:55.195000,"{wabt,afl}","{49cdabbad32378a3648575f1dc7dcc991817f241,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6247.0,3284.0,6247.0,0.0,0.0
wabt,2020-05-05 13:30:55.195000,"{wabt,afl}","{49cdabbad32378a3648575f1dc7dcc991817f241,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-06 13:30:54.846000,"{wabt,afl}","{9068d3927b404ce1e9c600473255a90504034eee,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6247.0,3284.0,6247.0,0.0,0.0
wabt,2020-05-06 13:30:54.846000,"{wabt,afl}","{9068d3927b404ce1e9c600473255a90504034eee,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-07 13:30:26.479000,"{wabt,afl}","{e88bc660cf89ca84dccda358cfbadc8a7c2bc935,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3284.0,6247.0,3315.0,6247.0,0.0,0.4962381943332801
wabt,2020-05-11 13:31:18.622000,"{wabt,afl}","{e88bc660cf89ca84dccda358cfbadc8a7c2bc935,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-12 13:30:26.641000,"{wabt,afl}","{08aa226fa21d15aeac865c0a38b77fb852728a88,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3315.0,6247.0,3314.0,6245.0,-2.0,0.0009817362454072054
wabt,2020-05-12 13:30:26.641000,"{wabt,afl}","{08aa226fa21d15aeac865c0a38b77fb852728a88,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-13 13:30:35.288000,"{wabt,afl}","{a5a9b341b7fb7aa66427d4701871d2b3c73bcc87,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3314.0,6245.0,3314.0,6245.0,0.0,0.0
wabt,2020-05-13 13:30:35.288000,"{wabt,afl}","{a5a9b341b7fb7aa66427d4701871d2b3c73bcc87,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-14 13:32:22.060000,"{wabt,afl}","{d087e702d520207871ae82c58461fb08d58af187,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3314.0,6245.0,3285.0,6313.0,68.0,-1.0309708244973876
wabt,2020-05-14 13:32:22.060000,"{wabt,afl}","{d087e702d520207871ae82c58461fb08d58af187,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-15 13:33:09.138000,"{wabt,afl}","{ebbf625e15b844d43feb24134b9a9cd3ea91daca,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3285.0,6313.0,3285.0,6313.0,0.0,0.0
wabt,2020-05-15 13:33:09.138000,"{wabt,afl}","{ebbf625e15b844d43feb24134b9a9cd3ea91daca,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-16 13:31:07.660000,"{wabt,afl}","{14b17a66a1604e97e209dea0ced035779fb9f1b2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3285.0,6313.0,3285.0,6313.0,0.0,0.0
wabt,2020-05-16 13:31:07.660000,"{wabt,afl}","{14b17a66a1604e97e209dea0ced035779fb9f1b2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-17 13:30:46.189000,"{wabt,afl}","{a9317fb219e958b819b9ce98d15214803953c24c,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3285.0,6313.0,3285.0,6313.0,0.0,0.0
wabt,2020-05-17 13:30:46.189000,"{wabt,afl}","{a9317fb219e958b819b9ce98d15214803953c24c,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-19 13:30:37.096000,"{wabt,afl}","{2facebce75a062b8c1b94be005b3d498ee5c383b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3285.0,6313.0,3285.0,6313.0,0.0,0.0
wabt,2020-05-19 13:30:37.096000,"{wabt,afl}","{2facebce75a062b8c1b94be005b3d498ee5c383b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-20 13:30:38.418000,"{wabt,afl}","{3625539c176839c9a45d58143767a63c04b95559,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3285.0,6313.0,3285.0,6313.0,0.0,0.0
wabt,2020-05-21 13:31:30.241000,"{wabt,afl}","{3625539c176839c9a45d58143767a63c04b95559,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-22 13:31:07.140000,"{wabt,afl}","{0630dc53755678239d7609b61776b125221eefb8,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3285.0,6313.0,3285.0,6313.0,0.0,0.0
wabt,2020-05-28 13:32:49.464000,"{wabt,afl}","{0630dc53755678239d7609b61776b125221eefb8,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-29 13:31:02.864000,"{wabt,afl}","{17da0da1f59c18e0a655454662ed9ee7bb24756a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3285.0,6313.0,3268.0,6344.0,31.0,-0.5222414805294875
wabt,2020-05-29 13:31:02.864000,"{wabt,afl}","{17da0da1f59c18e0a655454662ed9ee7bb24756a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-30 13:32:19.864000,"{wabt,afl}","{eb4e9509604137f6ac51b529a8540cd0e01f2650,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3268.0,6344.0,2371.0,6345.0,1.0,-14.145234553326631
